"Notes","Year","Year Code","Month","Month Code","ICD Chapter","ICD Chapter Code",Deaths,Population,Crude Rate
,"1999","1999","Mar., 1999","1999/03","Diseases of the musculoskeletal system and connective tissue","M00-M99",1333,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03","Diseases of the genitourinary system","N00-N98",5094,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03","Pregnancy, childbirth and the puerperium","O00-O99",24,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03","Certain conditions originating in the perinatal period","P00-P96",1215,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",933,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",2306,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03","External causes of morbidity and mortality","V01-Y89",12186,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04","Certain infectious and parasitic diseases","A00-B99",4987,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04","Neoplasms","C00-D48",45164,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",773,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04","Endocrine, nutritional and metabolic diseases","E00-E88",7849,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04","Mental and behavioural disorders","F01-F99",3458,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04","Diseases of the nervous system","G00-G98",6844,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04","Diseases of the circulatory system","I00-I99",78920,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04","Diseases of the respiratory system","J00-J98",19959,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04","Diseases of the digestive system","K00-K92",6836,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04","Diseases of the skin and subcutaneous tissue","L00-L98",282,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04","Diseases of the musculoskeletal system and connective tissue","M00-M99",1114,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04","Diseases of the genitourinary system","N00-N98",4340,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04","Pregnancy, childbirth and the puerperium","O00-O99",32,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04","Certain conditions originating in the perinatal period","P00-P96",1183,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",854,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",1982,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04","External causes of morbidity and mortality","V01-Y89",11959,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05","Certain infectious and parasitic diseases","A00-B99",4816,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05","Neoplasms","C00-D48",46802,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",734,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05","Endocrine, nutritional and metabolic diseases","E00-E88",7531,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05","Mental and behavioural disorders","F01-F99",3238,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05","Diseases of the nervous system","G00-G98",6368,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05","Diseases of the circulatory system","I00-I99",75996,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05","Diseases of the respiratory system","J00-J98",17040,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05","Diseases of the digestive system","K00-K92",6826,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05","Diseases of the skin and subcutaneous tissue","L00-L98",295,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05","Diseases of the musculoskeletal system and connective tissue","M00-M99",1053,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05","Diseases of the genitourinary system","N00-N98",4115,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05","Pregnancy, childbirth and the puerperium","O00-O99",30,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05","Certain conditions originating in the perinatal period","P00-P96",1238,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",804,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",2100,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05","External causes of morbidity and mortality","V01-Y89",12983,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06","Certain infectious and parasitic diseases","A00-B99",4423,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06","Neoplasms","C00-D48",44881,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",708,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06","Endocrine, nutritional and metabolic diseases","E00-E88",6825,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06","Mental and behavioural disorders","F01-F99",2884,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06","Diseases of the nervous system","G00-G98",5841,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06","Diseases of the circulatory system","I00-I99",70844,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06","Diseases of the respiratory system","J00-J98",15226,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06","Diseases of the digestive system","K00-K92",6447,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06","Diseases of the skin and subcutaneous tissue","L00-L98",275,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06","Diseases of the musculoskeletal system and connective tissue","M00-M99",995,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06","Diseases of the genitourinary system","N00-N98",3983,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06","Pregnancy, childbirth and the puerperium","O00-O99",30,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06","Certain conditions originating in the perinatal period","P00-P96",1206,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",823,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",2143,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06","External causes of morbidity and mortality","V01-Y89",12612,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07","Certain infectious and parasitic diseases","A00-B99",4490,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07","Neoplasms","C00-D48",46843,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",740,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07","Endocrine, nutritional and metabolic diseases","E00-E88",7055,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07","Mental and behavioural disorders","F01-F99",3035,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07","Diseases of the nervous system","G00-G98",6158,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07","Diseases of the circulatory system","I00-I99",73314,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07","Diseases of the respiratory system","J00-J98",14925,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07","Diseases of the digestive system","K00-K92",6569,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07","Diseases of the skin and subcutaneous tissue","L00-L98",306,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07","Diseases of the musculoskeletal system and connective tissue","M00-M99",962,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07","Diseases of the genitourinary system","N00-N98",4139,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07","Pregnancy, childbirth and the puerperium","O00-O99",32,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07","Certain conditions originating in the perinatal period","P00-P96",1216,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",853,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",2198,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07","External causes of morbidity and mortality","V01-Y89",14024,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08","Certain infectious and parasitic diseases","A00-B99",4486,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08","Neoplasms","C00-D48",46703,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",700,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08","Endocrine, nutritional and metabolic diseases","E00-E88",6916,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08","Mental and behavioural disorders","F01-F99",2936,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08","Diseases of the nervous system","G00-G98",6155,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08","Diseases of the circulatory system","I00-I99",70573,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08","Diseases of the respiratory system","J00-J98",14283,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08","Diseases of the digestive system","K00-K92",6522,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08","Diseases of the skin and subcutaneous tissue","L00-L98",298,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08","Diseases of the musculoskeletal system and connective tissue","M00-M99",1015,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08","Diseases of the genitourinary system","N00-N98",4050,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08","Pregnancy, childbirth and the puerperium","O00-O99",38,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08","Certain conditions originating in the perinatal period","P00-P96",1265,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",835,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",2201,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08","External causes of morbidity and mortality","V01-Y89",13508,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09","Certain infectious and parasitic diseases","A00-B99",4543,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09","Neoplasms","C00-D48",45870,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",684,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09","Endocrine, nutritional and metabolic diseases","E00-E88",6988,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09","Mental and behavioural disorders","F01-F99",2999,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09","Diseases of the nervous system","G00-G98",6294,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09","Diseases of the circulatory system","I00-I99",70135,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09","Diseases of the respiratory system","J00-J98",14485,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09","Diseases of the digestive system","K00-K92",6422,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09","Diseases of the skin and subcutaneous tissue","L00-L98",262,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09","Diseases of the musculoskeletal system and connective tissue","M00-M99",995,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09","Diseases of the genitourinary system","N00-N98",3990,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09","Pregnancy, childbirth and the puerperium","O00-O99",33,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09","Certain conditions originating in the perinatal period","P00-P96",1273,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",857,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",2054,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09","External causes of morbidity and mortality","V01-Y89",12419,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10","Certain infectious and parasitic diseases","A00-B99",4783,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10","Neoplasms","C00-D48",48335,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",705,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10","Endocrine, nutritional and metabolic diseases","E00-E88",7540,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10","Mental and behavioural disorders","F01-F99",3385,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10","Diseases of the nervous system","G00-G98",7108,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10","Diseases of the circulatory system","I00-I99",77264,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10","Diseases of the respiratory system","J00-J98",16557,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10","Diseases of the digestive system","K00-K92",6830,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10","Diseases of the skin and subcutaneous tissue","L00-L98",312,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10","Diseases of the musculoskeletal system and connective tissue","M00-M99",1118,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10","Diseases of the genitourinary system","N00-N98",4423,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10","Pregnancy, childbirth and the puerperium","O00-O99",36,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10","Certain conditions originating in the perinatal period","P00-P96",1193,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",876,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",2316,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10","External causes of morbidity and mortality","V01-Y89",12851,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11","Certain infectious and parasitic diseases","A00-B99",4877,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11","Neoplasms","C00-D48",46153,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",692,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11","Endocrine, nutritional and metabolic diseases","E00-E88",7405,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11","Mental and behavioural disorders","F01-F99",3584,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11","Diseases of the nervous system","G00-G98",6939,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11","Diseases of the circulatory system","I00-I99",76251,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11","Diseases of the respiratory system","J00-J98",17338,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11","Diseases of the digestive system","K00-K92",6735,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11","Diseases of the skin and subcutaneous tissue","L00-L98",299,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11","Diseases of the musculoskeletal system and connective tissue","M00-M99",1114,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11","Diseases of the genitourinary system","N00-N98",4278,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11","Pregnancy, childbirth and the puerperium","O00-O99",39,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11","Certain conditions originating in the perinatal period","P00-P96",1142,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",845,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",2271,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11","External causes of morbidity and mortality","V01-Y89",12115,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","Certain infectious and parasitic diseases","A00-B99",5643,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","Neoplasms","C00-D48",49195,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",732,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","Endocrine, nutritional and metabolic diseases","E00-E88",8809,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","Mental and behavioural disorders","F01-F99",4152,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","Diseases of the nervous system","G00-G98",8216,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","Diseases of the ear and mastoid process","H60-H93",10,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","Diseases of the circulatory system","I00-I99",90744,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","Diseases of the respiratory system","J00-J98",23726,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","Diseases of the digestive system","K00-K92",7463,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","Diseases of the skin and subcutaneous tissue","L00-L98",347,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","Diseases of the musculoskeletal system and connective tissue","M00-M99",1151,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","Diseases of the genitourinary system","N00-N98",4945,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","Pregnancy, childbirth and the puerperium","O00-O99",31,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","Certain conditions originating in the perinatal period","P00-P96",1168,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",904,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",2712,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12","External causes of morbidity and mortality","V01-Y89",12829,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01","Certain infectious and parasitic diseases","A00-B99",6332,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01","Neoplasms","C00-D48",50147,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",942,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01","Endocrine, nutritional and metabolic diseases","E00-E88",9911,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01","Mental and behavioural disorders","F01-F99",4996,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01","Diseases of the nervous system","G00-G98",9600,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01","Diseases of the circulatory system","I00-I99",99360,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01","Diseases of the respiratory system","J00-J98",33010,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01","Diseases of the digestive system","K00-K92",8056,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01","Diseases of the skin and subcutaneous tissue","L00-L98",361,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01","Diseases of the musculoskeletal system and connective tissue","M00-M99",1489,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01","Diseases of the genitourinary system","N00-N98",5661,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01","Pregnancy, childbirth and the puerperium","O00-O99",50,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01","Certain conditions originating in the perinatal period","P00-P96",1170,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",928,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",2737,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01","External causes of morbidity and mortality","V01-Y89",13064,Not Applicable,Not Applicable
,"2000","2000","Feb., 2000","2000/02","Certain infectious and parasitic diseases","A00-B99",5275,Not Applicable,Not Applicable
,"2000","2000","Feb., 2000","2000/02","Neoplasms","C00-D48",44753,Not Applicable,Not Applicable
,"2000","2000","Feb., 2000","2000/02","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",756,Not Applicable,Not Applicable
,"2000","2000","Feb., 2000","2000/02","Endocrine, nutritional and metabolic diseases","E00-E88",8170,Not Applicable,Not Applicable
,"2000","2000","Feb., 2000","2000/02","Mental and behavioural disorders","F01-F99",4235,Not Applicable,Not Applicable
,"2000","2000","Feb., 2000","2000/02","Diseases of the nervous system","G00-G98",7836,Not Applicable,Not Applicable
