"Sex";"Age, 31 December";"Periods";"Deaths (aantal)"
"Male";"80 years or older";"1973 week 25";"     313"
"Male";"80 years or older";"1973 week 26";"     381"
"Male";"80 years or older";"1973 week 27";"     325"
"Male";"80 years or older";"1973 week 28";"     288"
"Male";"80 years or older";"1973 week 29";"     271"
"Male";"80 years or older";"1973 week 30";"     287"
"Male";"80 years or older";"1973 week 31";"     304"
"Male";"80 years or older";"1973 week 32";"     271"
"Male";"80 years or older";"1973 week 33";"     333"
"Male";"80 years or older";"1973 week 34";"     273"
"Male";"80 years or older";"1973 week 35";"     270"
"Male";"80 years or older";"1973 week 36";"     276"
"Male";"80 years or older";"1973 week 37";"     267"
"Male";"80 years or older";"1973 week 38";"     280"
"Male";"80 years or older";"1973 week 39";"     301"
"Male";"80 years or older";"1973 week 40";"     305"
"Male";"80 years or older";"1973 week 41";"     282"
"Male";"80 years or older";"1973 week 42";"     299"
"Male";"80 years or older";"1973 week 43";"     286"
"Male";"80 years or older";"1973 week 44";"     297"
"Male";"80 years or older";"1973 week 45";"     322"
"Male";"80 years or older";"1973 week 46";"     300"
"Male";"80 years or older";"1973 week 47";"     314"
"Male";"80 years or older";"1973 week 48";"     297"
"Male";"80 years or older";"1973 week 49";"     307"
"Male";"80 years or older";"1973 week 50";"     321"
"Male";"80 years or older";"1973 week 51";"     329"
"Male";"80 years or older";"1973 week 52";"     314"
"Male";"80 years or older";"1973 week 53 (1 day)";"      64"
"Male";"80 years or older";"1973";"   16710"
"Male";"80 years or older";"1974 week 1 (6 days)";"     333"
"Male";"80 years or older";"1974 week 2";"     371"
"Male";"80 years or older";"1974 week 3";"     322"
"Male";"80 years or older";"1974 week 4";"     369"
"Male";"80 years or older";"1974 week 5";"     359"
"Male";"80 years or older";"1974 week 6";"     348"
"Male";"80 years or older";"1974 week 7";"     355"
"Male";"80 years or older";"1974 week 8";"     344"
"Male";"80 years or older";"1974 week 9";"     354"
"Male";"80 years or older";"1974 week 10";"     333"
"Male";"80 years or older";"1974 week 11";"     353"
"Male";"80 years or older";"1974 week 12";"     329"
"Male";"80 years or older";"1974 week 13";"     324"
"Male";"80 years or older";"1974 week 14";"     297"
"Male";"80 years or older";"1974 week 15";"     302"
"Male";"80 years or older";"1974 week 16";"     315"
"Male";"80 years or older";"1974 week 17";"     271"
"Male";"80 years or older";"1974 week 18";"     292"
"Male";"80 years or older";"1974 week 19";"     336"
"Male";"80 years or older";"1974 week 20";"     316"
"Male";"80 years or older";"1974 week 21";"     280"
"Male";"80 years or older";"1974 week 22";"     268"
"Male";"80 years or older";"1974 week 23";"     307"
"Male";"80 years or older";"1974 week 24";"     296"
"Male";"80 years or older";"1974 week 25";"     294"
"Male";"80 years or older";"1974 week 26";"     275"
"Male";"80 years or older";"1974 week 27";"     293"
"Male";"80 years or older";"1974 week 28";"     265"
"Male";"80 years or older";"1974 week 29";"     306"
"Male";"80 years or older";"1974 week 30";"     252"
"Male";"80 years or older";"1974 week 31";"     286"
"Male";"80 years or older";"1974 week 32";"     261"
"Male";"80 years or older";"1974 week 33";"     315"
"Male";"80 years or older";"1974 week 34";"     254"
"Male";"80 years or older";"1974 week 35";"     290"
"Male";"80 years or older";"1974 week 36";"     272"
"Male";"80 years or older";"1974 week 37";"     302"
"Male";"80 years or older";"1974 week 38";"     295"
"Male";"80 years or older";"1974 week 39";"     280"
"Male";"80 years or older";"1974 week 40";"     329"
"Male";"80 years or older";"1974 week 41";"     311"
"Male";"80 years or older";"1974 week 42";"     333"
"Male";"80 years or older";"1974 week 43";"     321"
"Male";"80 years or older";"1974 week 44";"     306"
"Male";"80 years or older";"1974 week 45";"     339"
"Male";"80 years or older";"1974 week 46";"     339"
"Male";"80 years or older";"1974 week 47";"     313"
"Male";"80 years or older";"1974 week 48";"     313"
"Male";"80 years or older";"1974 week 49";"     341"
"Male";"80 years or older";"1974 week 50";"     299"
"Male";"80 years or older";"1974 week 51";"     317"
"Male";"80 years or older";"1974 week 52";"     325"
"Male";"80 years or older";"1974 week 53 (2 days)";"      86"
"Male";"80 years or older";"1974";"   16286"
"Male";"80 years or older";"1975 week 1 (5 days)";"     279"
"Male";"80 years or older";"1975 week 2";"     412"
"Male";"80 years or older";"1975 week 3";"     442"
"Male";"80 years or older";"1975 week 4";"     468"
"Male";"80 years or older";"1975 week 5";"     433"
"Male";"80 years or older";"1975 week 6";"     447"
"Male";"80 years or older";"1975 week 7";"     452"
"Male";"80 years or older";"1975 week 8";"     411"
"Male";"80 years or older";"1975 week 9";"     407"
"Male";"80 years or older";"1975 week 10";"     350"
"Male";"80 years or older";"1975 week 11";"     357"
"Male";"80 years or older";"1975 week 12";"     350"
"Male";"80 years or older";"1975 week 13";"     339"
"Male";"80 years or older";"1975 week 14";"     341"
"Male";"80 years or older";"1975 week 15";"     346"
"Male";"80 years or older";"1975 week 16";"     349"
"Male";"80 years or older";"1975 week 17";"     329"
"Male";"80 years or older";"1975 week 18";"     328"
"Male";"80 years or older";"1975 week 19";"     313"
"Male";"80 years or older";"1975 week 20";"     322"
"Male";"80 years or older";"1975 week 21";"     308"
"Male";"80 years or older";"1975 week 22";"     298"
"Male";"80 years or older";"1975 week 23";"     316"
"Male";"80 years or older";"1975 week 24";"     334"
"Male";"80 years or older";"1975 week 25";"     322"
"Male";"80 years or older";"1975 week 26";"     309"
"Male";"80 years or older";"1975 week 27";"     301"
"Male";"80 years or older";"1975 week 28";"     331"
"Male";"80 years or older";"1975 week 29";"     299"
"Male";"80 years or older";"1975 week 30";"     236"
"Male";"80 years or older";"1975 week 31";"     291"
"Male";"80 years or older";"1975 week 32";"     460"
"Male";"80 years or older";"1975 week 33";"     382"
"Male";"80 years or older";"1975 week 34";"     301"
"Male";"80 years or older";"1975 week 35";"     311"
"Male";"80 years or older";"1975 week 36";"     294"
"Male";"80 years or older";"1975 week 37";"     319"
"Male";"80 years or older";"1975 week 38";"     309"
"Male";"80 years or older";"1975 week 39";"     327"
"Male";"80 years or older";"1975 week 40";"     291"
"Male";"80 years or older";"1975 week 41";"     280"
"Male";"80 years or older";"1975 week 42";"     305"
"Male";"80 years or older";"1975 week 43";"     297"
"Male";"80 years or older";"1975 week 44";"     327"
"Male";"80 years or older";"1975 week 45";"     323"
"Male";"80 years or older";"1975 week 46";"     323"
"Male";"80 years or older";"1975 week 47";"     344"
"Male";"80 years or older";"1975 week 48";"     303"
"Male";"80 years or older";"1975 week 49";"     318"
"Male";"80 years or older";"1975 week 50";"     339"
"Male";"80 years or older";"1975 week 51";"     324"
"Male";"80 years or older";"1975 week 52";"     300"
"Male";"80 years or older";"1975 week 53 (3 days)";"     144"
"Male";"80 years or older";"1975";"   17741"
"Male";"80 years or older";"1976 week 1 (4 days)";"     196"
"Male";"80 years or older";"1976 week 2";"     352"
"Male";"80 years or older";"1976 week 3";"     362"
"Male";"80 years or older";"1976 week 4";"     344"
"Male";"80 years or older";"1976 week 5";"     368"
"Male";"80 years or older";"1976 week 6";"     373"
"Male";"80 years or older";"1976 week 7";"     328"
"Male";"80 years or older";"1976 week 8";"     400"
"Male";"80 years or older";"1976 week 9";"     344"
"Male";"80 years or older";"1976 week 10";"     397"
"Male";"80 years or older";"1976 week 11";"     447"
"Male";"80 years or older";"1976 week 12";"     479"
"Male";"80 years or older";"1976 week 13";"     527"
"Male";"80 years or older";"1976 week 14";"     518"
"Male";"80 years or older";"1976 week 15";"     480"
"Male";"80 years or older";"1976 week 16";"     423"
"Male";"80 years or older";"1976 week 17";"     342"
"Male";"80 years or older";"1976 week 18";"     309"
"Male";"80 years or older";"1976 week 19";"     324"
"Male";"80 years or older";"1976 week 20";"     335"
"Male";"80 years or older";"1976 week 21";"     320"
"Male";"80 years or older";"1976 week 22";"     290"
"Male";"80 years or older";"1976 week 23";"     289"
"Male";"80 years or older";"1976 week 24";"     346"
"Male";"80 years or older";"1976 week 25";"     320"
"Male";"80 years or older";"1976 week 26";"     369"
"Male";"80 years or older";"1976 week 27";"     448"
"Male";"80 years or older";"1976 week 28";"     378"
"Male";"80 years or older";"1976 week 29";"     318"
"Male";"80 years or older";"1976 week 30";"     274"
"Male";"80 years or older";"1976 week 31";"     257"
"Male";"80 years or older";"1976 week 32";"     291"
"Male";"80 years or older";"1976 week 33";"     311"
"Male";"80 years or older";"1976 week 34";"     246"
"Male";"80 years or older";"1976 week 35";"     299"
"Male";"80 years or older";"1976 week 36";"     256"
"Male";"80 years or older";"1976 week 37";"     273"
"Male";"80 years or older";"1976 week 38";"     262"
"Male";"80 years or older";"1976 week 39";"     330"
"Male";"80 years or older";"1976 week 40";"     292"
"Male";"80 years or older";"1976 week 41";"     285"
"Male";"80 years or older";"1976 week 42";"     309"
"Male";"80 years or older";"1976 week 43";"     301"
"Male";"80 years or older";"1976 week 44";"     317"
"Male";"80 years or older";"1976 week 45";"     313"
"Male";"80 years or older";"1976 week 46";"     347"
"Male";"80 years or older";"1976 week 47";"     307"
"Male";"80 years or older";"1976 week 48";"     283"
"Male";"80 years or older";"1976 week 49";"     302"
"Male";"80 years or older";"1976 week 50";"     340"
"Male";"80 years or older";"1976 week 51";"     313"
"Male";"80 years or older";"1976 week 52 ";"     320"
"Male";"80 years or older";"1976 week 53 (5 days)";"     243"
"Male";"80 years or older";"1976";"   17797"
"Male";"80 years or older";"1977 week 0 (2 days)";"     121"
"Male";"80 years or older";"1977 week 1";"     356"
"Male";"80 years or older";"1977 week 2";"     375"
"Male";"80 years or older";"1977 week 3";"     354"
"Male";"80 years or older";"1977 week 4";"     316"
"Male";"80 years or older";"1977 week 5";"     351"
"Male";"80 years or older";"1977 week 6";"     326"
"Male";"80 years or older";"1977 week 7";"     336"
"Male";"80 years or older";"1977 week 8";"     335"
"Male";"80 years or older";"1977 week 9";"     384"
"Male";"80 years or older";"1977 week 10";"     343"
"Male";"80 years or older";"1977 week 11";"     328"
"Male";"80 years or older";"1977 week12";"     340"
"Male";"80 years or older";"1977 week 13";"     376"
"Male";"80 years or older";"1977 week 14";"     322"
"Male";"80 years or older";"1977 week 15";"     320"
"Male";"80 years or older";"1977 week 16";"     382"
"Male";"80 years or older";"1977 week 17";"     330"
"Male";"80 years or older";"1977 week 18";"     337"
"Male";"80 years or older";"1977 week 19";"     320"
"Male";"80 years or older";"1977 week 20";"     303"
"Male";"80 years or older";"1977 week 21";"     301"
"Male";"80 years or older";"1977 week 22";"     276"
"Male";"80 years or older";"1977 week 23";"     309"
"Male";"80 years or older";"1977 week 24";"     298"
"Male";"80 years or older";"1977 week 25";"     311"
"Male";"80 years or older";"1977 week 26";"     282"
"Male";"80 years or older";"1977 week 27";"     315"
"Male";"80 years or older";"1977 week 28";"     281"
"Male";"80 years or older";"1977 week 29";"     252"
"Male";"80 years or older";"1977 week 30";"     286"
"Male";"80 years or older";"1977 week 31";"     279"
"Male";"80 years or older";"1977 week 32";"     271"
"Male";"80 years or older";"1977 week 33";"     268"
"Male";"80 years or older";"1977 week 34";"     288"
"Male";"80 years or older";"1977 week 35";"     256"
"Male";"80 years or older";"1977 week 36";"     288"
"Male";"80 years or older";"1977 week 37";"     317"
"Male";"80 years or older";"1977 week 38";"     298"
"Male";"80 years or older";"1977 week 39";"     299"
"Male";"80 years or older";"1977 week 40";"     344"
"Male";"80 years or older";"1977 week 41";"     308"
"Male";"80 years or older";"1977 week 42";"     297"
"Male";"80 years or older";"1977 week 43";"     272"
"Male";"80 years or older";"1977 week 44";"     286"
"Male";"80 years or older";"1977 week 45";"     299"
"Male";"80 years or older";"1977 week 46";"     323"
"Male";"80 years or older";"1977 week 47";"     334"
"Male";"80 years or older";"1977 week 48";"     354"
"Male";"80 years or older";"1977 week 49";"     323"
"Male";"80 years or older";"1977 week 50";"     307"
"Male";"80 years or older";"1977 week 51";"     360"
"Male";"80 years or older";"1977 week 52 (6 days)";"     308"
"Male";"80 years or older";"1977";"   16545"
"Male";"80 years or older";"1978 week 0 (1 dag)";"      57"
"Male";"80 years or older";"1978 week 1";"     371"
"Male";"80 years or older";"1978 week 2";"     396"
"Male";"80 years or older";"1978 week 3";"     393"
"Male";"80 years or older";"1978 week 4";"     385"
"Male";"80 years or older";"1978 week 5";"     462"
"Male";"80 years or older";"1978 week 6";"     501"
"Male";"80 years or older";"1978 week 7";"     559"
"Male";"80 years or older";"1978 week 8";"     553"
"Male";"80 years or older";"1978 week 9";"     401"
"Male";"80 years or older";"1978 week 10";"     373"
"Male";"80 years or older";"1978 week 11";"     381"
"Male";"80 years or older";"1978 week 12";"     335"
"Male";"80 years or older";"1978 week 13";"     371"
"Male";"80 years or older";"1978 week 14";"     348"
"Male";"80 years or older";"1978 week 15";"     343"
"Male";"80 years or older";"1978 week 16";"     353"
"Male";"80 years or older";"1978 week 17";"     340"
"Male";"80 years or older";"1978 week 18";"     342"
"Male";"80 years or older";"1978 week 19";"     304"
"Male";"80 years or older";"1978 week 20";"     296"
"Male";"80 years or older";"1978 week 21";"     284"
"Male";"80 years or older";"1978 week 22";"     366"
"Male";"80 years or older";"1978 week 23";"     322"
"Male";"80 years or older";"1978 week 24";"     306"
"Male";"80 years or older";"1978 week 25";"     306"
"Male";"80 years or older";"1978 week 26";"     328"
"Male";"80 years or older";"1978 week 27";"     275"
"Male";"80 years or older";"1978 week 28";"     294"
"Male";"80 years or older";"1978 week 29";"     275"
"Male";"80 years or older";"1978 week 30";"     347"
"Male";"80 years or older";"1978 week 31";"     312"
"Male";"80 years or older";"1978 week 32";"     290"
"Male";"80 years or older";"1978 week 33";"     306"
"Male";"80 years or older";"1978 week 34";"     287"
"Male";"80 years or older";"1978 week 35";"     265"
"Male";"80 years or older";"1978 week 36";"     305"
"Male";"80 years or older";"1978 week 37";"     294"
"Male";"80 years or older";"1978 week 38";"     283"
"Male";"80 years or older";"1978 week 39";"     293"
"Male";"80 years or older";"1978 week 40";"     326"
"Male";"80 years or older";"1978 week 41";"     330"
"Male";"80 years or older";"1978 week 42";"     305"
"Male";"80 years or older";"1978 week 43";"     306"
"Male";"80 years or older";"1978 week 44";"     292"
"Male";"80 years or older";"1978 week 45";"     300"
"Male";"80 years or older";"1978 week 46";"     318"
"Male";"80 years or older";"1978 week 47";"     298"
"Male";"80 years or older";"1978 week 48";"     306"
"Male";"80 years or older";"1978 week 49";"     356"
"Male";"80 years or older";"1978 week 50";"     354"
"Male";"80 years or older";"1978 week 51";"     374"
"Male";"80 years or older";"1978 week 52";"     357"
"Male";"80 years or older";"1978";"   17824"
"Male";"80 years or older";"1979 week 1";"     453"
"Male";"80 years or older";"1979 week 2";"     422"
"Male";"80 years or older";"1979 week 3";"     357"
"Male";"80 years or older";"1979 week 4";"     359"
"Male";"80 years or older";"1979 week 5";"     395"
"Male";"80 years or older";"1979 week 6";"     383"
"Male";"80 years or older";"1979 week 7";"     348"
"Male";"80 years or older";"1979 week 8";"     369"
"Male";"80 years or older";"1979 week 9";"     343"
"Male";"80 years or older";"1979 week 10";"     403"
"Male";"80 years or older";"1979 week 11";"     373"
"Male";"80 years or older";"1979 week 12";"     373"
"Male";"80 years or older";"1979 week 13";"     369"
"Male";"80 years or older";"1979 week 14";"     355"
"Male";"80 years or older";"1979 week 15";"     367"
"Male";"80 years or older";"1979 week 16";"     339"
"Male";"80 years or older";"1979 week 17";"     343"
"Male";"80 years or older";"1979 week 18";"     311"
"Male";"80 years or older";"1979 week 19";"     334"
"Male";"80 years or older";"1979 week 20";"     315"
"Male";"80 years or older";"1979 week 21";"     351"
"Male";"80 years or older";"1979 week 22";"     312"
"Male";"80 years or older";"1979 week 23";"     285"
"Male";"80 years or older";"1979 week 24";"     292"
"Male";"80 years or older";"1979 week 25";"     313"
"Male";"80 years or older";"1979 week 26";"     271"
"Male";"80 years or older";"1979 week 27";"     332"
"Male";"80 years or older";"1979 week 28";"     323"
"Male";"80 years or older";"1979 week 29";"     319"
"Male";"80 years or older";"1979 week 30";"     321"
"Male";"80 years or older";"1979 week 31";"     269"
"Male";"80 years or older";"1979 week 32";"     284"
"Male";"80 years or older";"1979 week 33";"     283"
"Male";"80 years or older";"1979 week 34";"     278"
"Male";"80 years or older";"1979 week 35";"     327"
"Male";"80 years or older";"1979 week 36";"     341"
"Male";"80 years or older";"1979 week 37";"     284"
"Male";"80 years or older";"1979 week 38";"     306"
"Male";"80 years or older";"1979 week 39";"     330"
"Male";"80 years or older";"1979 week 40";"     313"
"Male";"80 years or older";"1979 week 41";"     322"
"Male";"80 years or older";"1979 week 42";"     298"
"Male";"80 years or older";"1979 week 43";"     292"
"Male";"80 years or older";"1979 week 44";"     341"
"Male";"80 years or older";"1979 week 45";"     317"
"Male";"80 years or older";"1979 week 46";"     345"
"Male";"80 years or older";"1979 week 47";"     332"
"Male";"80 years or older";"1979 week 48";"     327"
"Male";"80 years or older";"1979 week 49";"     331"
"Male";"80 years or older";"1979 week 50";"     313"
"Male";"80 years or older";"1979 week 51";"     356"
"Male";"80 years or older";"1979 week 52";"     318"
"Male";"80 years or older";"1979 week 53 (1 day)";"      55"
"Male";"80 years or older";"1979";"   17392"
"Male";"80 years or older";"1980 week 1 (6 days)";"     331"
"Male";"80 years or older";"1980 week 2";"     364"
"Male";"80 years or older";"1980 week 3";"     404"
"Male";"80 years or older";"1080 week 4";"     413"
"Male";"80 years or older";"1980 week 5";"     388"
"Male";"80 years or older";"1980 week 6";"     369"
"Male";"80 years or older";"1980 week 7";"     360"
"Male";"80 years or older";"1980 week 8";"     379"
"Male";"80 years or older";"1980 week 9";"     360"
"Male";"80 years or older";"1980 week 10";"     379"
"Male";"80 years or older";"1980 week 11";"     350"
"Male";"80 years or older";"1980 week 12";"     395"
"Male";"80 years or older";"1980 week 13";"     374"
"Male";"80 years or older";"1980 week 14";"     347"
"Male";"80 years or older";"1980 week 15";"     317"
"Male";"80 years or older";"1980 week 16";"     365"
"Male";"80 years or older";"1980 week 17";"     359"
"Male";"80 years or older";"1980 week 18";"     307"
"Male";"80 years or older";"1980 week 19";"     357"
"Male";"80 years or older";"1980 week 20";"     349"
"Male";"80 years or older";"1980 week 21";"     326"
"Male";"80 years or older";"1980 week 22";"     346"
"Male";"80 years or older";"1980 week 23";"     348"
"Male";"80 years or older";"1980 week 24";"     369"
"Male";"80 years or older";"1980 week 25";"     293"
"Male";"80 years or older";"1980 week 26";"     315"
"Male";"80 years or older";"1980 week 27";"     333"
"Male";"80 years or older";"1980 week 28";"     335"
"Male";"80 years or older";"1980 week 29";"     351"
"Male";"80 years or older";"1980 week 30";"     370"
"Male";"80 years or older";"1980 week 31";"     345"
"Male";"80 years or older";"1980 week 32";"     296"
"Male";"80 years or older";"1980 week 33";"     315"
"Male";"80 years or older";"1980 week 34";"     296"
"Male";"80 years or older";"1980 week 35";"     301"
"Male";"80 years or older";"1980 week 36";"     291"
"Male";"80 years or older";"1980 week 37";"     288"
"Male";"80 years or older";"1980 week 38";"     312"
"Male";"80 years or older";"1980 week 39";"     282"
"Male";"80 years or older";"1980 week 40";"     318"
"Male";"80 years or older";"1980 week 41";"     316"
"Male";"80 years or older";"1980 week 42";"     331"
"Male";"80 years or older";"1980 week 43";"     325"
"Male";"80 years or older";"1980 week 44";"     359"
"Male";"80 years or older";"1980 week 45";"     355"
"Male";"80 years or older";"1980 week 46";"     350"
"Male";"80 years or older";"1980 week 47";"     358"
"Male";"80 years or older";"1980 week 48";"     310"
"Male";"80 years or older";"1980 week 49";"     351"
"Male";"80 years or older";"1980 week 50";"     365"
"Male";"80 years or older";"1980 week 51";"     385"
"Male";"80 years or older";"1980 week 52";"     352"
"Male";"80 years or older";"1980 week 53 (3 days)";"     118"
"Male";"80 years or older";"1980";"   17972"
"Male";"80 years or older";"1981 week 1 (4 days)";"     254"
"Male";"80 years or older";"1981 week 2";"     437"
"Male";"80 years or older";"1981 week 3";"     394"
"Male";"80 years or older";"1981 week 4";"     415"
"Male";"80 years or older";"1981 week 5";"     395"
"Male";"80 years or older";"1981 week 6";"     408"
"Male";"80 years or older";"1981 week 7";"     370"
"Male";"80 years or older";"1981 week 8";"     403"
"Male";"80 years or older";"1981 week 9";"     417"
"Male";"80 years or older";"1981 week 10";"     405"
"Male";"80 years or older";"1981 week 11";"     402"
"Male";"80 years or older";"1981 week 12";"     389"
"Male";"80 years or older";"1981 week 13";"     351"
"Male";"80 years or older";"1981 week 14";"     350"
"Male";"80 years or older";"1981 week 15";"     342"
"Male";"80 years or older";"1981 week 16";"     314"
"Male";"80 years or older";"1981 week 17";"     359"
"Male";"80 years or older";"1981 week 18";"     335"
"Male";"80 years or older";"1981 week 19";"     381"
"Male";"80 years or older";"1981 week 20";"     334"
"Male";"80 years or older";"1981 week 21";"     341"
"Male";"80 years or older";"1981 week 22";"     327"
"Male";"80 years or older";"1981 week 23";"     309"
"Male";"80 years or older";"1981 week 24";"     350"
"Male";"80 years or older";"1981 week 25";"     330"
"Male";"80 years or older";"1981 week 26";"     332"
"Male";"80 years or older";"1981 week 27";"     336"
"Male";"80 years or older";"1981 week 28";"     401"
"Male";"80 years or older";"1981 week 29";"     323"
"Male";"80 years or older";"1981 week 30";"     300"
"Male";"80 years or older";"1981 week 31";"     329"
"Male";"80 years or older";"1981 week 32";"     340"
"Male";"80 years or older";"1981 week 33";"     302"
"Male";"80 years or older";"1981 week 34";"     295"
"Male";"80 years or older";"1981 week 35";"     291"
"Male";"80 years or older";"1981 week 36";"     306"
"Male";"80 years or older";"1981 week 37";"     321"
"Male";"80 years or older";"1981 week 38";"     321"
"Male";"80 years or older";"1981 week 39";"     317"
"Male";"80 years or older";"1981 week 40";"     333"
"Male";"80 years or older";"1981 week 41";"     328"
"Male";"80 years or older";"1981 week 42";"     377"
"Male";"80 years or older";"1981 week 43";"     345"
"Male";"80 years or older";"1981 week 44";"     376"
"Male";"80 years or older";"1981 week 45";"     337"
"Male";"80 years or older";"1981 week 46";"     346"
"Male";"80 years or older";"1981 week 47";"     350"
"Male";"80 years or older";"1981 week 48";"     315"
"Male";"80 years or older";"1981 week 49";"     352"
"Male";"80 years or older";"1981 week 50";"     330"
"Male";"80 years or older";"1981 week 51";"     380"
"Male";"80 years or older";"1981 week 52";"     378"
"Male";"80 years or older";"1981 week 53 (4 days)";"     260"
"Male";"80 years or older";"1981";"   18433"
"Male";"80 years or older";"1982 week 0  (3 days)";"     177"
"Male";"80 years or older";"1982 week 1";"     431"
"Male";"80 years or older";"1982 week 2";"     401"
"Male";"80 years or older";"1982 week 3";"     411"
"Male";"80 years or older";"1982 week 4";"     402"
"Male";"80 years or older";"1982 week 5";"     399"
"Male";"80 years or older";"1982 week 6";"     419"
"Male";"80 years or older";"1982 week 7";"     380"
"Male";"80 years or older";"1982 week 8";"     390"
"Male";"80 years or older";"1982 week 9";"     407"
"Male";"80 years or older";"1982 week 10";"     389"
"Male";"80 years or older";"1982 week 11";"     401"
"Male";"80 years or older";"1982 week 12";"     401"
"Male";"80 years or older";"1982 week 13";"     406"
"Male";"80 years or older";"1982 week 14";"     359"
"Male";"80 years or older";"1982 week 15";"     373"
"Male";"80 years or older";"1982 week 16";"     390"
"Male";"80 years or older";"1982 week 17";"     392"
"Male";"80 years or older";"1982 week 18";"     337"
"Male";"80 years or older";"1982 week 19";"     346"
"Male";"80 years or older";"1982 week 20";"     381"
"Male";"80 years or older";"1982 week 21";"     320"
"Male";"80 years or older";"1982 week 22";"     405"
"Male";"80 years or older";"1982 week 23";"     365"
"Male";"80 years or older";"1982 week 24";"     316"
"Male";"80 years or older";"1982 week 25";"     334"
"Male";"80 years or older";"1982 week 26";"     343"
"Male";"80 years or older";"1982 week 27";"     353"
"Male";"80 years or older";"1982 week 28";"     341"
"Male";"80 years or older";"1982 week 29";"     319"
"Male";"80 years or older";"1982 week 30";"     359"
"Male";"80 years or older";"1982 week 31";"     393"
"Male";"80 years or older";"1982 week 32";"     316"
"Male";"80 years or older";"1982 week 33";"     295"
"Male";"80 years or older";"1982 week 34";"     295"
"Male";"80 years or older";"1982 week 35";"     319"
"Male";"80 years or older";"1982 week 36";"     288"
"Male";"80 years or older";"1982 week 37";"     319"
"Male";"80 years or older";"1982 week 38";"     297"
"Male";"80 years or older";"1982 week 39";"     300"
"Male";"80 years or older";"1982 week 40";"     311"
"Male";"80 years or older";"1982 week 41";"     313"
"Male";"80 years or older";"1982 week 42";"     360"
"Male";"80 years or older";"1982 week 43";"     329"
"Male";"80 years or older";"1982 week 44";"     321"
"Male";"80 years or older";"1982 week 45";"     322"
"Male";"80 years or older";"1982 week 46";"     329"
"Male";"80 years or older";"1982 week 47";"     341"
"Male";"80 years or older";"1982 week 48";"     363"
"Male";"80 years or older";"1982 week 49";"     384"
"Male";"80 years or older";"1982 week 50";"     408"
"Male";"80 years or older";"1982 week 51";"     465"
"Male";"80 years or older";"1982 week 52  (5 days)";"     350"
"Male";"80 years or older";"1982";"   18865"
"Male";"80 years or older";"1983 week 0 (2 days)";"     144"
"Male";"80 years or older";"1983 week 1";"     525"
"Male";"80 years or older";"1983 week 2";"     480"
"Male";"80 years or older";"1983 week 3";"     419"
"Male";"80 years or older";"1983 week 4";"     425"
"Male";"80 years or older";"1983 week 5";"     389"
"Male";"80 years or older";"1983 week 6";"     426"
"Male";"80 years or older";"1983 week 7";"     425"
"Male";"80 years or older";"1983 week 8";"     399"
"Male";"80 years or older";"1983 week 9";"     412"
"Male";"80 years or older";"1983 week 10";"     405"
"Male";"80 years or older";"1983 week 11";"     360"
"Male";"80 years or older";"1982 week 12";"     362"
"Male";"80 years or older";"1983 week 13";"     386"
"Male";"80 years or older";"1983 week 14";"     381"
"Male";"80 years or older";"1983 week 15";"     389"
"Male";"80 years or older";"1983 week 16";"     360"
"Male";"80 years or older";"1983 week 17";"     338"
"Male";"80 years or older";"1983 week 18";"     372"
"Male";"80 years or older";"1983 week 19";"     365"
"Male";"80 years or older";"1983 week 20";"     329"
"Male";"80 years or older";"1983 week 21";"     345"
"Male";"80 years or older";"1983 week 22";"     402"
"Male";"80 years or older";"1983 week 23";"     362"
"Male";"80 years or older";"1983 week 24";"     351"
"Male";"80 years or older";"1983 week 25";"     420"
"Male";"80 years or older";"1983 week 26";"     334"
"Male";"80 years or older";"1983 week 27";"     367"
"Male";"80 years or older";"1983 week 28";"     393"
"Male";"80 years or older";"1983 week 29";"     346"
"Male";"80 years or older";"1983 week 30";"     342"
"Male";"80 years or older";"1983 week 31";"     281"
"Male";"80 years or older";"1983 week 32";"     312"
"Male";"80 years or older";"1983 week 33";"     347"
"Male";"80 years or older";"1983 week 34";"     310"
"Male";"80 years or older";"1983 week 35";"     321"
"Male";"80 years or older";"1983 week 36";"     310"
"Male";"80 years or older";"1983 week 37";"     306"
"Male";"80 years or older";"1983 week 38";"     331"
"Male";"80 years or older";"1983 week 39";"     333"
"Male";"80 years or older";"1983 week 40";"     355"
"Male";"80 years or older";"1983 week 41";"     330"
"Male";"80 years or older";"1983 week 42";"     334"
"Male";"80 years or older";"1983 week 43";"     310"
"Male";"80 years or older";"1983 week 44";"     356"
"Male";"80 years or older";"1983 week 45";"     351"
"Male";"80 years or older";"1983 week 46";"     338"
"Male";"80 years or older";"1983 week 47";"     386"
"Male";"80 years or older";"1983 week 48";"     376"
"Male";"80 years or older";"1983 week 49";"     359"
"Male";"80 years or older";"1983 week 50";"     388"
"Male";"80 years or older";"1983 week 51";"     396"
"Male";"80 years or older";"1983 week 52 (6 days)";"     307"
"Male";"80 years or older";"1983";"   19190"
"Male";"80 years or older";"1984 week 0 (1 day)";"      50"
"Male";"80 years or older";"1984 week 1";"     429"
"Male";"80 years or older";"1984 week 2";"     407"
"Male";"80 years or older";"1984 week 3";"     372"
"Male";"80 years or older";"1984 week 4";"     415"
"Male";"80 years or older";"1984 week 5";"     431"
"Male";"80 years or older";"1984 week 6";"     399"
"Male";"80 years or older";"1984 week 7";"     406"
